Host,Memory Usage,CPU Usage,Primary Sent,Primary Received,Primary Speed,Secondary Received,Secondary Sent,Secondary Speed
BR-C122-TRBPK,57.52,45.65,39.02 Kbps,57.86 Kbps,2.00 Mbps,90.56 Kbps,34.01 Kbps,2.00 Mbps
BR-C124-VKRLI,70.62,45.9,96.42 Kbps,135.22 Kbps,2.00 Mbps,186.25 Kbps,54.89 Kbps,15.00 Mbps
BR-C125-DHSAR,70.03,47.24,36.53 Kbps,60.18 Kbps,2.00 Mbps,90.52 Kbps,35.42 Kbps,2.00 Mbps
BR-C126-SKWRPT,53.3,46.76,39.60 Kbps,59.72 Kbps,2.00 Mbps,93.39 Kbps,36.98 Kbps,2.00 Mbps
BR-C127-MJLPUR,52.21,47.33,23.24 Kbps,35.70 Kbps,2.00 Mbps,102.52 Kbps,68.37 Kbps,2.00 Mbps
BR-C128-TITWL,69.45,46.76,52.82 Kbps,84.36 Kbps,2.00 Mbps,191.67 Kbps,44.16 Kbps,5.00 Mbps
BR-C129-MMBRA,58.06,47.63,38.40 Kbps,91.74 Kbps,2.00 Mbps,106.99 Kbps,48.11 Kbps,2.00 Mbps
BR-C130-BELVL,69.71,46.13,45.77 Kbps,68.90 Kbps,2.00 Mbps,180.59 Kbps,40.84 Kbps,2.00 Mbps
BR-C131-VAPI,62.2,45.52,43.80 Kbps,70.28 Kbps,2.00 Mbps,157.00 Kbps,47.82 Kbps,2.00 Mbps
BR-C132-SINNR,53.87,47.06,33.83 Kbps,52.73 Kbps,4.00 Mbps,77.55 Kbps,39.08 Kbps,2.00 Mbps
BR-C133-NLSPR,65.27,52.85,140.89 Kbps,242.84 Kbps,2.00 Mbps,2.12 Kbps,0.17 Kbps,15.00 Mbps
BR-C134-VIRAR,58.47,45.59,36.32 Kbps,64.24 Kbps,2.00 Mbps,202.35 Kbps,56.73 Kbps,15.00 Mbps
BR-C135-PLGHR,56.25,46.16,78.66 Kbps,206.76 Kbps,5.00 Mbps,20.46 Kbps,14.32 Kbps,15.00 Mbps
BR-C136-MORBI,55.36,45.69,39.14 Kbps,68.34 Kbps,4.00 Mbps,48.94 Kbps,27.77 Kbps,2.00 Mbps
BR-C137-SANPD,70.13,46.96,77.92 Kbps,98.24 Kbps,2.00 Mbps,221.67 Kbps,60.66 Kbps,10.00 Mbps
BR-C138-SENBP,65.11,46.85,32.11 Kbps,51.31 Kbps,2.00 Mbps,95.78 Kbps,38.81 Kbps,2.00 Mbps
BR-C139-RAVET,70.18,46.23,41.46 Kbps,108.76 Kbps,2.00 Mbps,69.61 Kbps,41.77 Kbps,2.00 Mbps
BR-C140-VASCO,55.9,47.57,42.66 Kbps,135.84 Kbps,2.00 Mbps,157.48 Kbps,56.66 Kbps,5.00 Mbps
BR-C141-KRWAR,57.45,46.85,38.21 Kbps,117.48 Kbps,5.00 Mbps,91.29 Kbps,41.67 Kbps,5.00 Mbps
BR-C143-KMOTH,59.16,45.94,32.43 Kbps,77.85 Kbps,2.00 Mbps,71.40 Kbps,36.66 Kbps,2.00 Mbps
BR-C144-PURNA,65.36,45.55,41.11 Kbps,76.74 Kbps,2.00 Mbps,168.75 Kbps,40.03 Kbps,2.00 Mbps
BR-C146-GANDHI,53.21,46.98,42.00 Kbps,63.73 Kbps,2.00 Mbps,177.03 Kbps,45.26 Kbps,2.00 Mbps
